"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"42514","Middle East","March 28, 2016","2016","Mar","1","","1","","","1","","Excessive Physical Abuse","Syrian/Turkish border, Ain al-Kawakh near the Khurbat al-Juz-Güveççi border crossing","Human Rights Watch","36.732184400000, 36.613272300000","","http://bit.ly/1Wm8lNP","Western Asia","4"
"42960","Mediterranean","March 28, 2016","2016","Mar","","84","84","1","","","","Drowning","off the coast of Libya","IOM Italy","33.416533100000, 16.230191400000","Central Mediterranean","","Uncategorized","4"
"44778","US-Mexico Border","March 28, 2016","2016","Mar","2","","2","4","","","","Vehicle Accident","Interstate 8 near Andrade, California","Sonoran News, The Guardian","32.744104143579, -114.725059343410","Central America to US","https://bit.ly/2KAFi6a, https://docs.google.com/spreadsheets/d/1tMr7v1t_XUpe4gonpCEg92s8lzeGEpzamsGFvFenY7I/edit#gid=682861705","Northern America","3"
"42501","US-Mexico Border","March 27, 2016","2016","Mar","1","","1","","","","","Unknown","ranch in Falfurrias, Hidalgo County, Texas","La Tarde","26.376354000000, -98.383347700000","Central America to US","http://bit.ly/1VDljEC","Northern America","1"
"42421","US-Mexico Border","March 26, 2016","2016","Mar","1","","1","","","1","","Drowning","Rio Grande, Hidalgo County, Texas","Valley Central","26.376354000000, -98.383347700000","Central America to US","http://bit.ly/1qrM6bn","Northern America","1"
"42520","Mediterranean","March 26, 2016","2016","Mar","12","","12","","","","","Drowning","bodies found on coast of Garabulli, Libya","Ultime Notizie","32.791242000000, 13.702657400000","Central Mediterranean","http://bit.ly/1XVYFqj","Uncategorized","1"
"42826","Central America","March 25, 2016","2016","Mar","1","","1","","","1","","Unknown","San Francisco de los Romo, Aguascaliente, Mexico","El Circo","22.074187600000, -102.277884000000","Central America to US","http://bit.ly/2m2CSAq, http://bit.ly/2lV5lsI","Central America","3"
"42470","US-Mexico Border","March 24, 2016","2016","Mar","1","","1","","","1","","Vehicle Accident","Yuma, Arizona","El Bravo","32.605602700000, -114.712142500000","Central America to US","http://bit.ly/1qtWn6H","Northern America","1"
"42561","Middle East","March 24, 2016","2016","Mar","1","","1","","1","","","Sickness and lack of access to medicines","Syrian/Turkish border near northern Aleppo province","Syrian Observatory for Human Rights","36.747849600000, 36.575696700000","","http://bit.ly/28Nnkxe","Western Asia","4"
"43184","North Africa","March 24, 2016","2016","Mar","2","","2","","","","","Sickness and lack of access to medicines","Wadi Halfa in the desert, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","21.824075900000, 31.260625300000","","","Northern Africa","2"
